"","C002","C003","C006","C007","C010","C012","C013","C016","C019","C020","C022","C025","C026","C028","C029","C030","C031","C032","C034","C035","C037","C038","C039","C040","C041","C042","C043","C044","C045","C049","C050","C051","C052","C054","C055","C057","C063","C065","C067","C068","C008","C033","C047","C048","C053","C014","C018","C021","C046","C069","C061"
"AZT.1.10_2012",292.766,2290.793,589.515,0,469.464,0,406.592,1827.418,255.097,0,2021.666,2908.666,437.943,0,319.032,203.919,168.894,0,0,0,0,686.181,1692.433,771.696,313.435,0,0,103.719,143.489,195.645,59.505,192.241,0,144.648,0,83.482,151.533,253.049,186.473,439.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZT.1.3_2012",399.753,1596.315,0,0,313.48,0,1370.219,1088.011,0,145.96,4114.135,2054.18,371.383,962.757,95.651,0,0,0,0,0,0,439.193,5160.686,193.627,127.353,0,0,228.307,319.239,319.773,0,52.211,0,0,0,0,115.112,211.287,123.796,406.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZT.1.7_2012",70.689,2133.093,457.99,0,569.955,0,676.584,1924.849,241.134,0,1634.245,4736.041,794.962,0,365.276,335.791,235.877,0,0,0,0,705.5,2771.851,708.537,295.189,0,0,161.327,106.818,0,83.311,385.03,0,179.477,0,149.514,168.755,488.424,346.938,765.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.5_2012",803.585,2598.282,0,0,593.082,0,249.657,2422.115,0,0,1294.795,516.843,187.087,161.421,113.622,0,0,0,0,0,247.073,945.009,300.481,0,252.838,0,65.229,0,114.016,386.391,86.241,64.366,0,0,0,0,164.605,612.563,173.335,513.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.7_2012",599.954,1677.474,0,0,386.706,0,192.195,2674.222,165.845,0,684.152,1805.713,114.922,737.413,284.16,0,0,0,0,0,0,991.753,137.3,0,226.628,0,161.98,0,82.33,635.187,98.176,86.776,0,0,107.82,0,277.214,468.682,0,517.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.8_2012",401.776,4595.333,543.94,258.852,815.551,0,363.528,2028.175,386.835,0,839.768,3229.078,354.929,490.945,306.996,0,182.067,0,195.058,0,162.286,528.855,99.396,978.311,244.881,0,124.179,0,67.046,520.158,97.813,150.006,0,0,82.83,0,99.397,250.322,202.324,159.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.1.6_2012",304.31,3359.454,605.935,269.343,1077.184,0,250.058,2266.901,285.779,0,1943.918,1597.903,776.844,199.035,151.86,0,261.251,0,125.341,0,0,882.718,398.304,0,138.081,0,0,935.948,189.564,685.723,110.572,149.802,0,0,81.857,55.584,93.717,112.423,0,129.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.1.9_2012",454.882,1405.298,453.921,0,524.647,0,0,2332.473,161.228,0,1546.407,1221.468,570.238,229.637,197.485,0,0,0,115.607,0,135.402,998.387,299.619,331.207,0,0,118.401,0,142.968,196.683,104.714,282.543,0,222.235,0,53.712,334.834,229.475,0,657.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.3_2012",363.502,2630.05,665.854,337.212,363.963,0,696.536,1023.007,265.606,179.368,3758.795,2621.813,699.167,0,129.689,108.117,136.669,0,0,0,148.936,511.946,86.237,598.924,170.999,89.568,0,186.528,281.984,162.05,91.637,197.393,0,147.462,0,55.544,508.416,331.006,87.971,1140.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.4_2012",580.138,2028.279,0,0,361.491,0,785.957,3265.328,0,0,4273.656,465.324,256.325,198.117,160.535,0,0,82.74,0,0,138.574,1179.191,306.987,0,187.746,0,151.194,0,349.171,598.792,111.021,89.599,0,0,0,72.717,345.767,382.58,0,289.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.5_2012",550.851,1695.59,0,0,188.862,0,1564.781,2430.277,0,0,1090,128.374,402.806,0,0,0,0,0,0,0,0,1347.292,107.897,0,79.369,0,107.447,0,96.976,535.39,62.628,97.072,74.448,0,120.948,103.097,153.582,490.226,147.289,271.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
