"","C002","C003","C004","C005","C008","C010","C011","C012","C018","C019","C020","C021","C026","C027","C028","C031","C032","C033","C036","C037","C038","C039","C040","C042","C045","C047","C048","C049","C050","C051","C054","C061","C013","C024","C025","C041","C043","C046","C056","C014","C015","C016","C029","C030","C044"
"AZT.1.3_2021",1991.113,0,0,0,275.235,107.299,288.732,1916.415,140.078,204.613,4410.158,220.658,1276.056,126.147,0,0,0,246.236,580.051,6137.343,243.128,233.994,108.547,349.061,0,0,0,0,0,0,0,163.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZT.1.7_2021",4427.94,167.614,567.036,0,599.557,0,135.666,788.14,609.706,147.625,2752.092,110.621,474.055,772.422,399.061,129.935,290.413,167.868,1333.352,1215.762,1279.914,172.067,291.244,205.83,0,117.765,0,114.37,105.392,52.837,90.624,274.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.5_2021",1929.12,124.62,0,478.214,122.186,0,0,0,220.57,0,1543.429,0,680.681,156.292,0,0,145.016,0,891.543,1626.911,382.059,0,82.41,139.889,74.027,93.672,0,0,121.577,0,0,209.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.7_2021",1150.067,0,678.934,0,131.489,0,564.775,0,205.668,0,750.456,160.555,1168.17,425.151,118.17,0,0,0,1152.442,827.363,138.514,490.29,0,0,0,0,0,0,0,0,0,356.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.8_2021",3320.935,115.391,0,0,381.242,102.273,0,227.979,402.401,248.039,687.526,0,425.625,313.762,156.37,0,136.314,0,521.832,1108.457,116.46,0,127.495,0,84.837,149.124,0,0,146.012,0,0,108.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.1.6_2021",2737.233,137.376,0,0,425.832,0,0,135.67,266.962,0,1214.072,0,875.124,131.306,302.578,0,95.315,0,791.96,2081.204,330.626,72.471,940.644,159.266,142.741,0,0,0,132.551,0,0,105.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.1.9_2021",2315.351,125.069,0,1068.185,261.924,0,0,97.543,335.659,101.324,2787.727,0,549.442,366.918,126.632,0,155.408,0,1295.976,1310.44,492.162,443.872,117.758,201.962,0,115.926,0,0,113.597,0,0,529.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.3_2021",3689.593,188.875,0,0,193.627,0,0,975.169,429.666,117.4,2650.747,0,260.09,121.834,156.445,0,0,0,553.133,3627.05,652.815,70.108,144.222,154.991,0,0,0,0,110.449,0,0,538.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.4_2021",2113.387,176.067,0,0,0,0,0,129.507,236.273,244.088,2361.011,0,503.035,303.682,0,0,182.12,177.813,1592.583,1153.313,390.289,77.968,316.944,434.962,0,0,0,0,83.337,0,93.993,474.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.5_2021",2787.114,177.494,0,418.796,105.877,175.133,0,1487.95,0,0,1118.167,0,113.621,104.288,0,0,172.15,127.531,1682.083,7166.798,133.153,121.274,0,87.789,0,0,71.438,0,85.122,0,116.999,156.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
