plot#,Plant.ID,Height10-10,Crown10-10,Ellip_vol10,Crown7-11,Height 6-11,Ellip_vol11,Crown4-12,Height4-12,Ellip_vol12,2yr grw vol-cm,2yr grw vol-m,y2011,y2012,y2011_m,y2012_m
370,AZT-1-1,25.5,151.893,16224.32172,826.04,30,103803.2478,1150,48,231221.2193,318800.1454,0.318800145,103803.2478,127417.9715,0.103803248,0.127417971
423,AZT-1-10,30.5,352.102,44983.88296,1248.56,38,198738.3241,1675.9,60,421199.6103,574954.0514,0.574954051,198738.3241,222461.2861,0.198738324,0.222461286
87,AZT-1-2,31,234.385,30435.47736,979.63,36,147724.7237,1547.3,49,317584.4391,434873.6855,0.434873685,147724.7237,169859.7154,0.147724724,0.169859715
159,AZT-1-3,42.3,629.705,111574.8003,1952.821,45.5,372188.0652,2931.6,60,736791.4419,997404.7067,0.997404707,372188.0652,364603.3767,0.372188065,0.364603377
92,AZT-1-4,42.2,339.359,59987.45425,2065.962,50.5,437021.0101,1473.2,58,357913.6923,734947.2482,0.734947248,437021.0101,-79107.31783,0.43702101,-0.079107318
133,AZT-1-5,33,579.322,80079.72453,2252.796,44,415205.552,2703.5,61,690788.0534,1025913.881,1.025913881,415205.552,275582.5014,0.415205552,0.275582501
29,AZT-1-6,26.2,119.672,13133.55962,1073.239,36,161840.6284,599.7,41,102992.7169,251699.7857,0.251699786,161840.6284,-58847.91146,0.161840628,-0.058847911
211,AZT-1-7,24,224.772,22596.54605,1243.861,32.5,169333.8651,2261,46,435659.314,582396.6331,0.582396633,169333.8651,266325.4489,0.169333865,0.266325449
228,AZT-1-8,16.8,95.165,6696.920493,427.861,24.5,43909.38916,641.8,43,115599.7188,152812.1875,0.152812187,43909.38916,71690.32964,0.043909389,0.07169033
386,AZT-1-9,dead,15.369,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
319,AZW-1-1,36.2,517.682,78498.29873,1535.772,43,276620.1485,327.7,25,34316.66375,232438.5136,0.232438514,276620.1485,-242303.4848,0.276620149,-0.242303485
275,AZW-1-10,17,91.462,6512.957205,317.507,23.5,31254.29997,446.4,33,61705.90626,86447.24903,0.086447249,31254.29997,30451.60629,0.0312543,0.030451606
312,AZW-1-2,40,747.865,125305.9835,1984.718,43,357483.3947,2185.9,47,430344.9959,662522.4071,0.662522407,357483.3947,72861.60125,0.357483395,0.072861601
348,AZW-1-3,36.5,208.109,31817.96034,692.181,42,121774.8417,920.7,48,185117.7188,275074.6002,0.2750746,121774.8417,63342.8771,0.121774842,0.063342877
283,AZW-1-4,34.5,307.116,44382.33499,1432.057,40,239943.4534,2510.2,51,536249.7598,731810.8782,0.731810878,239943.4534,296306.3064,0.239943453,0.296306306
54,AZW-1-5,24,131.742,13244.15038,975.127,29,118453.4704,1480.5,42,260463.1637,365672.4837,0.365672484,118453.4704,142009.6934,0.11845347,0.142009693
86,AZW-1-6,23,184.237,17749.79324,730.265,25,76473.17197,982.3,38,156356.6475,215080.0262,0.215080026,76473.17197,79883.47552,0.076473172,0.079883476
